date,retail_sales,cpi,real_retail_sales,yoy_growth_pct
1997-02-01,198891,159.7,124540.38822792738,2.9116740698636345
1997-03-01,200352,159.8,125376.72090112639,3.571986910783509
1997-04-01,197212,159.9,123334.58411507192,1.447631339579547
1997-05-01,196937,159.9,123162.60162601624,0.5650445553446737
1997-06-01,199311,160.2,124413.85767790263,2.630298474033177
1997-07-01,201751,160.4,125779.92518703241,3.32864982687775
1997-08-01,201892,160.8,125554.72636815919,3.260993230448128
1997-09-01,202992,161.2,125925.55831265508,2.7322935800567105
1997-10-01,203055,161.5,125730.65015479876,1.7837931352428615
1997-11-01,202778,161.7,125403.83426097712,2.132754270846071
1997-12-01,203837,161.8,125980.84054388132,2.6200950784439403
1998-01-01,204505,162.0,126237.65432098764,1.912321274901263
1998-02-01,204207,162.0,126053.7037037037,1.2151202491891278
1998-03-01,205311,162.0,126735.1851851852,1.0835059924163337
1998-04-01,208683,162.2,128657.82983970408,4.316101410505868
1998-05-01,209165,162.6,128637.76137761379,4.4454726348042595
1998-06-01,211222,162.8,129743.24324324323,4.283594821999603
1998-07-01,209658,163.2,128466.9117647059,2.1362602765727434
1998-08-01,207737,163.4,127134.02692778457,1.2578583103231455
1998-09-01,210112,163.5,128508.86850152905,2.0514581975963786
1998-10-01,213794,163.9,130441.73276388041,3.7469643267424413
1998-11-01,215194,164.1,131135.8927483242,4.570879767055702
1998-12-01,217396,164.4,132236.0097323601,4.965174991271781
1999-01-01,217930,164.7,132319.36854887675,4.81767049665307
1999-02-01,220769,164.7,134043.10868245296,6.338096179648023
1999-03-01,222199,164.8,134829.4902912621,6.386786032820746
1999-04-01,223837,165.9,134922.84508740203,4.869517273455948
1999-05-01,225577,166.0,135889.75903614456,5.637534096417207
1999-06-01,226474,166.0,136430.1204819277,5.153931003673073
1999-07-01,228424,166.7,137026.9946010798,6.66325882578398
1999-08-01,230902,167.1,138181.92698982646,8.689963127115764
1999-09-01,231912,167.8,138207.389749702,7.546966494423346
1999-10-01,231254,168.1,137569.3039857228,5.46418011384775
1999-11-01,234425,168.4,139207.24465558195,6.154952498587307
1999-12-01,239589,168.8,141936.6113744076,7.335824531972102
2000-01-01,237541,169.3,140307.73774365033,6.037188117189962
2000-02-01,241541,170.0,142082.94117647057,5.997945416995587
2000-03-01,244533,171.0,143001.75438596492,6.061184446406265
2000-04-01,239552,170.9,140170.86015213575,3.8896415661366257
2000-05-01,241546,171.2,141089.95327102806,3.8267741967960456
2000-06-01,243226,172.2,141246.22531939606,3.5300891184848915
2000-07-01,240979,172.7,139536.18992472498,1.8311686182347575
2000-08-01,242318,172.7,140311.52287203245,1.5411537012092635
2000-09-01,245520,173.6,141428.57142857142,2.3306870093582344
2000-10-01,245399,173.9,141115.0086256469,2.5773952016883817
2000-11-01,243846,174.2,139980.4822043628,0.5554578360443596
2000-12-01,243844,174.6,139658.64833906072,-1.6049157530877989
2001-01-01,247339,175.6,140853.64464692483,0.38907825901370874
2001-02-01,247289,176.0,140505.11363636362,-1.1104975214070612
2001-03-01,244514,176.1,138849.51731970473,-2.903626661147951
2001-04-01,249113,176.4,141220.52154195012,0.7488442238815507
2001-05-01,250250,177.3,141144.95205865763,0.03898136355882098
2001-06-01,248836,177.7,140031.51378728193,-0.859995748111031
2001-07-01,247336,177.4,139422.7733934611,-0.08128108652318833
2001-08-01,249590,177.4,140693.3483652762,0.2721269682119942
2001-09-01,243130,178.1,136513.19483436272,-3.4755188039859553
2001-10-01,262862,177.6,148007.88288288287,4.8845791275976325
2001-11-01,254084,177.5,143145.91549295775,2.2613390372334896
2001-12-01,249879,177.4,140856.2570462232,0.8575256322508329
2002-01-01,250603,177.7,141025.88632526732,0.12228414733195248
2002-02-01,252279,178.0,141729.77528089887,0.8716135753640719
2002-03-01,251542,178.5,140919.88795518206,1.4910895445968686
2002-04-01,254543,179.3,141964.8633575014,0.5270776565785118
2002-05-01,252390,179.5,140607.24233983288,-0.3809627698206919
2002-06-01,253652,179.6,141231.6258351893,0.8570299752171717
2002-07-01,257339,180.0,142966.1111111111,2.5414339647730655
2002-08-01,259050,180.5,143518.0055401662,2.0076693089686515
2002-09-01,254081,180.8,140531.52654867255,2.9435482183135964
2002-10-01,256131,181.2,141352.64900662252,-4.496540148153172
2002-11-01,256350,181.5,141239.6694214876,-1.3316803800552224
2002-12-01,259206,181.8,142577.55775577558,1.2220264442974083
2003-01-01,261394,182.6,143151.15005476453,1.507002568730842
2003-02-01,257531,183.6,140267.4291938998,-1.0317846649377738
2003-03-01,260566,183.9,141688.9613920609,0.5457522341512533
2003-04-01,261375,183.2,142671.94323144105,0.49806681541970654
2003-05-01,261392,182.9,142915.2542372881,1.6414601830231579
2003-06-01,265331,183.1,144910.43145821954,2.604802997398914
2003-07-01,267683,183.7,145717.47414262386,1.9244861667772728
2003-08-01,270612,184.5,146673.17073170733,2.198445539753613
2003-09-01,270212,185.1,145981.63155051324,3.878208068815825
2003-10-01,269060,184.9,145516.4954029205,2.9457151497053857
2003-11-01,270161,185.0,146032.97297297296,3.393737447219003
2003-12-01,271550,185.5,146388.14016172508,2.672638293101315
2004-01-01,272465,186.3,146250.67096081589,2.165208525998974
2004-02-01,274360,186.7,146952.32994108196,4.765825384837741
2004-03-01,279692,187.1,149487.9743452699,5.504319374343281
2004-04-01,277625,187.4,148145.67769477054,3.836587866788954
2004-05-01,281281,188.2,149458.5547290117,4.578447924711715
2004-06-01,279141,188.9,147771.8369507676,1.9746028382870984
2004-07-01,281350,189.1,148783.71232152302,2.104235059618187
2004-08-01,281006,189.2,148523.2558139535,1.2613657105908782
2004-09-01,286866,189.8,151141.20126448892,3.5343965259015064
2004-10-01,287700,190.8,150786.16352201256,3.6213544756564353
2004-11-01,289679,191.7,151110.58946270213,3.4770342521677655
2004-12-01,293401,191.7,153052.16484089725,4.552298206541838
2005-01-01,290111,191.6,151414.92693110646,3.5310989935042336
2005-02-01,293710,192.4,152655.92515592516,3.8812553820207985
2005-03-01,294743,193.1,152637.49352667012,2.1068712685381907
2005-04-01,297153,193.7,153408.87971089315,3.5527206044894344
2005-05-01,295314,193.6,152538.22314049586,2.0605501084016264
2005-06-01,305083,193.7,157502.83944243676,6.585153634458218
2005-07-01,307320,194.9,157680.8619805028,5.979921807403876
2005-08-01,303216,196.1,154623.15145334014,4.107030650491272
2005-09-01,304187,198.8,153011.569416499,1.2374972121182548
2005-10-01,303989,199.1,152681.5670517328,1.2570142282607666
2005-11-01,306566,198.1,154753.15497223625,2.4105296144273147
2005-12-01,306723,198.1,154832.4078748107,1.163160962645704
2006-01-01,315566,199.3,158337.1801304566,4.57171121741502
2006-02-01,313440,199.4,157191.5747241725,2.971158547311248
2006-03-01,314471,199.7,157471.70756134205,3.167120949760127
2006-04-01,316094,200.7,157495.7648231191,2.664047296302474
2006-05-01,314919,201.3,156442.62295081967,2.5596206183204684
2006-06-01,316978,201.8,157075.3221010902,-0.271434688326877
2006-07-01,317984,202.9,156719.5662888122,-0.6096463956478559
2006-08-01,318802,203.8,156428.8518155054,1.167807243089447
2006-09-01,316400,202.8,156015.77909270214,1.9633872704263755
2006-10-01,316145,201.9,156584.94304110945,2.5565469786238637
2006-11-01,317123,202.0,156991.58415841585,1.4464514061643508
2006-12-01,320312,203.1,157711.47218119155,1.85947137676028
2007-01-01,320305,203.437,157446.7771349361,-0.5623461241300864
